,freq_bin,contra_control_power,optrode_power,subject
8,18.5,0.83131886,0.8604422,8
0,19.0,1.1000159,1.2732128,0
1,19.0,1.1084642,1.0818927,1
2,19.0,0.97854054,0.92571133,2
3,19.0,1.0982561,1.0606503,3
4,19.0,1.0309155,1.0135932,4
5,19.0,1.0188287,1.0018268,5
6,19.0,1.0817893,1.0042922,6
7,19.0,1.0606277,1.0096246,7
8,19.0,0.84055156,0.8482636,8
0,19.5,1.1039382,1.2717183,0
1,19.5,1.126733,1.0909381,1
2,19.5,0.97641146,0.91472733,2
3,19.5,1.0980605,1.071117,3
4,19.5,1.0225904,1.0010883,4
5,19.5,1.0135627,0.9912249,5
6,19.5,1.0824159,1.0003906,6
7,19.5,1.0661676,1.0211508,7
8,19.5,0.8439615,0.8171154,8
